id,structure_2d4f7,structure_9a902,structure_09a0d,structure_4ba1e,structure_6e192,structure_14946,structure_ae7b1,structure_c804d,structure_08dde,structure_f9c34,structure_5b67e,structure_cebbc,structure_4232e,structure_98c95,structure_e8a49,structure_6512d,structure_26945,structure_efa2a,structure_2c303,structure_7965f,structure_17328,structure_1b965,structure_e751b,structure_21d54,structure_c74fc,structure_97898,structure_6741c,structure_5aa52,structure_168e1,structure_9946a,structure_2ce40,structure_682d8,structure_464ae,structure_65f05,structure_fc149,structure_9db62,structure_205ef,structure_c2189,structure_81ea2,structure_6b37b,structure_f2d10,structure_b806b,structure_b89ee,structure_c8a84,structure_ffe31,structure_0f024,structure_ac2e8,structure_b98ed,structure_6a55e,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
3cb80,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,0.0,0.0,0.0,24.84830073500052,9006405.090234548,99.84586175365074,False,False,False
c8441,original,original,original,original,gpt-4-turbo,gemini-v15-pro,gemini-v15-pro,original,gemini-v15-pro,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gemini-v15-pro,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,-0.2574740047223295,-0.029707697700809672,0.015595880822339413,24.912278650008375,9009080.685832465,99.8302899120456,True,True,False
b2c90,original,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gemini-v15-pro,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,-0.8594415057477173,0.2955681718704804,0.01289776702090337,25.06185734499013,8979785.023358092,99.83298386702174,True,False,False
095a7,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gemini-v15-pro,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,-0.41717088072560615,-0.05624761702788495,0.05418787186171443,24.95196061002207,9011470.978477683,99.79175740602444,True,True,False
a7c36,gpt-4-turbo,gemini-v15-pro,original,gemini-v15-pro,original,gpt-4-turbo,original,original,gemini-v15-pro,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,-0.0027649254199030005,-1.3106855754324114,0.0027648489738944003,24.848987771983957,9124450.742617263,99.84310116636657,True,True,False
2d4b1,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gemini-v15-pro,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,-0.22123681048139876,-2.352049555185349,-0.02055568134586323,24.903274323005462,9218240.2010976,99.86638575082985,True,True,True
471f5,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gemini-v15-pro,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,-0.08326968609257447,-1.4319737834473787,0.0026548192459059307,24.868991837021895,9135374.449957777,99.84321102649666,True,True,False
48b1d,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,0.08946454414784138,-0.395104002820457,-0.0088598143533479,24.826070316019468,9041989.75725629,99.85470791164161,False,True,True
09be8,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gemini-v15-pro,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,0.25974827686583474,0.6849508236891232,-0.017956951176010504,24.783757702010917,8944715.644384207,99.86379102629711,False,False,True
4e2e9,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gemini-v15-pro,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gemini-v15-pro,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,0.10097227283877884,-1.6287168055853736,0.019966872446674503,24.823210840986576,9153093.923518294,99.8259256577911,False,True,False
