id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
28f75,original,gpt-4-o,original,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,0.12394009515596095,-1.0941283233600985,0.010503512164027558,24.776435144245625,8230651.872391145,99.90674644694737,False,True,False
42c0a,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,0.0,0.0,0.0,24.80718118821581,8141572.620384586,99.91724126653776,False,False,False
f7421,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o_1,original,original,original,gpt-4-o,original,original,0.7646549521681065,0.21682781300271123,0.01538669854340533,24.617491848766804,8123919.426527779,99.90186730183119,False,False,False
ef365,gpt-4-o,gpt-4-o_2,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,0.9215214354507067,0.51659015120975,-0.007184851785419858,24.578577696035307,8099514.05807409,99.92442017223084,False,False,True
d8657,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,0.7077404496631211,-0.7206059673807054,0.00496116983047291,24.631610732525587,8200241.278525711,99.9122842025086,False,True,False
fc9d2,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o_1,gpt-4-o,original,original,original,gpt-4-o,original,-0.12748120497713747,-0.11583675171191891,-0.0071796245310592095,24.83880568171541,8151003.5536463065,99.92441494930249,True,True,True
50cca,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,original,0.7034559140639386,0.30468372345911154,-0.004248729373906582,24.63267360503475,8116766.573776671,99.92148647971705,False,False,True
4506b,gpt-4-o,gpt-4-o_2,gpt-4-o,original,gpt-4-o,original,original,original,original,original,original,gpt-4-o,original,original,original,original,gpt-4-o,original,original,original,original,0.21314385021856744,-1.6256953768417817,-0.011374383928719844,24.75430620710055,8273929.790076395,99.9286062371704,False,True,True
7f9ba,original,gpt-4-o_2,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o_1,original,original,original,gpt-4-o,gpt-4-o,original,0.8360751198674781,1.374766296098689,-0.015914676848679254,24.599774518360693,8029645.02402714,99.93314277260144,False,False,True
383db,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,0.7801037189640458,1.7624150564814642,-0.00018147298032367484,24.61365944519639,7998084.318688556,99.91742258933334,False,False,True
90e0f,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.7327092831866133,0.4699457287065957,0.00688378152012975,24.62541666875283,8103311.647605543,99.91036318194803,False,False,False
30e69,original,gpt-4-o_2,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o_1,gpt-4-o,gpt-4-o,original,original,original,original,0.07312370932120243,0.15209087361662682,-0.006058494426874206,24.789041257152956,8129190.031460111,99.92329474703138,False,False,True
a4b35,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,-2.948174360298733,0.4154074495346281,0.0030633291888871555,25.53854014351964,8107751.921210237,99.91418047252131,True,False,False
