id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
340fa,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,0.0,0.0,0.0,24.715387437362224,8317306.228397765,99.92155085258247,False,False,False
b113d,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,0.13723522183873196,-0.42060043229864197,2.0049111461474958,24.68146922058426,8352288.854350008,97.9182125421356,False,True,False
8195b,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,original,gpt-4-o_1,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,0.3614649368327251,-0.5267873725721559,0.004581918330339839,24.6260499777738,8361120.747347122,99.916972528728,False,True,False
a12e5,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,0.11135286067106395,-0.15410701607805233,0.004458955242820878,24.687866146424785,8330123.780844423,99.91709539535202,False,True,False
f406b,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o_1,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,0.15630550393545378,-0.3477049675784914,2.007953938938234,24.676755926478656,8346225.9153226195,97.91517213638987,False,True,False
22b00,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,0.28977647389663097,-0.4441796034853442,0.006667802407554979,24.643768059136345,8354250.006223724,99.91488828100906,False,True,False
57229,original,gpt-4-o_2,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,0.25976597378585764,-0.04735244717839256,0.0009820795570541995,24.651185270510613,8321244.676436232,99.92056954345846,False,True,False
41be3,original,gpt-4-o_2,original,original,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,0.07151656643213987,-0.3246475969598066,0.0013919262890630692,24.697711840886623,8344308.163200047,99.92016001824771,False,True,False
f13f7,gpt-4-o,gpt-4-o_2,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,0.012314814793928566,-0.3321274424781562,0.002273942755677109,24.71234378317371,8344930.284857219,99.9192786937155,False,True,False
088a0,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o_1,original,gpt-4-o,original,original,gpt-4-o,original,0.35724634431519825,-0.41026393000029077,0.005597912983051529,24.62709261925891,8351429.135800549,99.91595733111443,False,True,False
f675f,gpt-4-o,gpt-4-o_2,original,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,original,original,original,original,original,original,0.41022905398042453,-0.017973120552160902,2.0059783798588082,24.613997737290337,8318801.1078728875,97.91714614566004,False,True,False
