id,structure_613f3,structure_1da1a,structure_c7523,structure_aa9fb,structure_d0964,structure_e6340,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
afa26,gpt-3.5-turbo,claude-v3-sonnet,llama-3-8b,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,21.664024288504155,9.146975692690951,-28.16548152978729,4.114784304471686,162222468.7304836,166.91956727155176,False,False,True
2f340,llama-3-70b,claude-v3-sonnet,original,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,18.270366952506997,6.643970037547264,-22.467355406322422,4.293044265033677,166691706.37798703,159.49846811571996,False,False,True
2cfd0,llama-3-70b,llama-3-8b,mistral-large,gpt-4-o,original,original,18.368777945632726,6.629555184898383,-22.593692940978908,4.287874992471188,166717444.79452205,159.66300700999403,False,False,True
4879a,gpt-3.5-turbo,claude-v3-sonnet,gpt-4-turbo,gpt-4-o,original,claude-v3-sonnet,9.091171989164332,3.5306470250989843,-11.545652208486848,4.7752034137491135,172250695.18309778,145.2743108005747,False,False,True
f4f81,mistral-large,llama-3-8b,gpt-4-turbo,original,gpt-4-turbo,claude-v3-sonnet,9.105682386223817,3.866876085520735,-14.04479395805681,4.774441220471635,171650341.9350204,148.52913147779063,False,False,True
3e043,original,llama-3-8b,mistral-large,gpt-4-o,original,claude-v3-haiku,11.90384738132771,2.7838195314054146,-14.435810965705334,4.627460918016732,173584191.79112455,149.03838240037496,False,False,True
44688,gpt-3.5-turbo,claude-v3-sonnet,original,original,original,original,7.699308079438232,1.1890365221882213,-10.137834724735907,4.8483143914025275,176431753.9809044,143.44080397502265,False,False,True
4b532,claude-v3-opus,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,18.885180156545395,6.227009522325892,-23.62973527345623,4.260749732423574,167436209.54294005,161.01232303290408,False,False,True
84b02,llama-3-70b,original,original,original,original,claude-v3-opus,4.327731874140737,0.7228704579655088,-5.520126738500108,5.025414487812668,177264116.0332758,137.42681479752537,False,False,True
89f60,original,mistral-large,llama-3-8b,claude-v3-sonnet,gpt-4-turbo,claude-v3-opus,11.75806664616924,4.185222037334567,-13.728591139312632,4.635118399467319,171081919.8422245,148.11731671265392,False,False,True
a1ffc,gpt-3.5-turbo,claude-v3-sonnet,llama-3-8b,gpt-4-o,gpt-4-turbo,claude-v3-opus,9.09775439381488,3.40307785306046,-10.68964640207889,4.774857657216489,172478476.109267,144.1594699161019,False,False,True
f1fb0,mistral-large,mistral-large,gpt-4-turbo,original,gpt-4-turbo,claude-v3-sonnet,-0.6439143001315667,-0.4065643160128095,0.18127897024229664,5.286562082637102,179280776.4438867,130.00144439058272,True,True,False
d5d3a,llama-3-70b,claude-v3-sonnet,gpt-4-turbo,original,gpt-4-turbo,claude-v3-opus,7.926436694926717,3.26350051887059,-7.402511361256374,4.836383918160573,172727698.18969563,139.87838617945064,False,False,True
