id,structure_68947,structure_26183,structure_c825f,structure_272c0,structure_ca406,structure_8722a,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
542bd,claude-v3-sonnet,original,claude-v3-sonnet,original,gpt-4_2,gpt-4-turbo,0.6100663403540423,-1.6076789818191677,-0.8986894597661368,68.15176287516951,275952904.0840312,13.460518338055772,False,True,True
96f9c,original,gpt-4-turbo,claude-v3-sonnet,original,original,claude-v3-sonnet,-5.1033189896474465,-0.4471155290966791,2.3833356853452785,72.06943610310555,272800968.5378028,13.022675588181915,True,True,False
280e5,original,claude-v3-haiku_1,claude-v3-sonnet,original,gpt-4-turbo,gpt-4-turbo,-5.208368783155081,-1.6108658987224709,1.6910377450753469,72.14146883673966,275961559.3252822,13.11503247775398,True,True,False
a7d81,gpt-4,original,original,original,gpt-4_1,claude-v3-sonnet,-1.0552406496193973,-0.49305672533345996,-1.247989124710718,69.2936653085053,272925738.69932675,13.507117105300793,True,True,True
adb24,original,gpt-4-turbo,original,claude-v3-sonnet,gpt-4_1,original,-6.009995571504363,-0.25384031301258825,1.1318703671012043,72.69114501401782,272276058.8292028,13.189628914888724,True,True,False
bed40,claude-v3-sonnet,claude-v3-sonnet_1,original,original,original,claude-v3-sonnet,3.417692240402201,0.46521092989225876,-6.056701518780288,66.2265713840723,270323211.55768573,14.148629514524107,False,False,True
6d08c,gpt-4-turbo,claude-v3-sonnet_3,claude-v3-sonnet_1,gpt-4-turbo,original,gpt-4-turbo,-4.598309667910224,1.5966932878228801,0.9680424295000495,71.72315077744425,267250256.38619056,13.21148458982537,True,False,False
0d75a,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet,original,original,-5.191508701050547,-0.12699942048251517,2.574492961886564,72.12990786395967,271931575.88262796,12.997174007932324,True,True,False
d695d,original,gpt-4,original,claude-v3-haiku_1,original,claude-v3-sonnet,-0.710763154170454,-0.5037874239182072,-1.5166021149401328,69.05745679400862,272954881.84546477,13.542951763810057,True,True,True
96469,gpt-4-turbo,claude-v3-sonnet_1,original,claude-v3-haiku_1,claude-v3-haiku,claude-v3-sonnet,-6.0105482768728296,-0.5249757034858641,3.413553027684309,72.69152400456369,273012426.38676155,12.885238129846371,True,True,False
9311c,claude-v3-sonnet,original,claude-v3-sonnet_1,original,gpt-4_2,gpt-4-turbo,-0.13710029469269805,-0.06437180055226718,-4.195069233166235,68.66409567855298,271761487.6199218,13.900276085422167,True,True,True
344f2,gpt-4,claude-v3-sonnet_3,original,original,gpt-4-turbo,claude-v3-sonnet,0.09248873013906657,0.1011328528475623,-5.092407406763881,68.50666628703475,271311999.05564433,14.019986628798105,False,False,True
39a7e,claude-v3-sonnet,original,claude-v3-sonnet_1,original,gpt-4_2,original,-2.2246844102008754,0.17180154364677921,-2.1558598486494662,70.09555389955639,271120072.3169443,13.62823275698658,True,False,True
8ad68,gpt-4,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,-5.13157931721132,-1.166361455581412,0.41012601417273836,72.08881423398853,274754344.5439567,13.285914140692928,True,True,False
a9ff2,claude-v3-sonnet,claude-v3-sonnet_3,original,original,gpt-4-turbo,claude-v3-sonnet,4.53775434264023,0.759296381090665,-6.876615440850327,65.45854383856059,269524514.6961859,14.258011176890017,False,False,True
f644a,gpt-4,gpt-4-turbo_1,claude-v3-sonnet,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,-4.939783650867401,-0.6793961259336059,1.1615455015837604,71.95729978084564,273431811.65814406,13.185670065729974,True,True,False
bcf88,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,-5.155168403343819,-0.7032626280831117,2.1248755206752072,72.10498929060995,273496629.8947624,13.057155796050083,True,True,False
fa5b7,original,original,original,original,original,original,0.0,0.0,0.0,68.5700858887285,271586662.39527816,13.340627524625305,False,False,False
86238,original,claude-v3-haiku_1,claude-v3-sonnet,claude-v3-sonnet,gpt-4-turbo,gpt-4-turbo,-4.621359618232266,-0.3946264191454802,4.566285429959698,71.73895614817738,272658415.11596537,12.731456393703146,True,True,False
34f5b,gpt-4,claude-v3-sonnet_3,claude-v3-sonnet_1,gpt-4-turbo,original,original,-8.926517306556914,0.1347011570835514,5.42608979730963,74.69100647270679,271220832.0185471,12.61675309561453,True,False,False
5f707,gpt-4-turbo,gpt-4-turbo_1,original,claude-v3-sonnet,original,gpt-4-turbo,-4.721372339327554,-0.33507360340255793,-0.09706044663205168,71.80753495693207,272496677.61132675,13.353575997284224,True,True,True
8d797,gpt-4-turbo,original,original,gpt-4-turbo,original,original,-5.218799726895234,-1.663010047218023,0.7673778016656758,72.14862134382129,276103175.8778157,13.238254510398429,True,True,False
2f4a8,original,gpt-4-turbo_1,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4_1,original,-0.20162733946011283,-0.9024764163854766,-1.9136240833133182,68.70834192857146,274037667.973444,13.59591698580166,True,True,True
2824c,gpt-4-turbo,claude-v3-sonnet_3,original,claude-v3-sonnet,original,original,-4.565935141304801,-1.906201919211935,-0.08355178776314875,71.70095153674484,276763652.5661806,13.351773857420952,True,True,True
cdf4b,gpt-4-turbo,gpt-4-turbo_1,original,original,original,gpt-4-turbo,-5.353483245657867,-1.0182928952660644,1.8940655458277509,72.24097394831479,274352210.0829395,13.087947295084163,True,True,False
ffa31,original,claude-v3-sonnet_3,claude-v3-sonnet_1,claude-v3-sonnet,original,original,-0.22483317970262978,-1.2599895245432324,-4.086240246142887,68.72425419315695,275008625.89151525,13.88575761562456,True,True,True
d905e,gpt-4-turbo,claude-v3-sonnet_3,claude-v3-sonnet,gpt-4-turbo,original,original,-5.283120829158659,-0.9563151691285281,2.8085092127439752,72.1927263788879,274183886.8450941,12.965954771558344,True,True,False
2ae16,claude-v3-sonnet,gpt-4_3,original,claude-v3-sonnet,gpt-4-turbo,original,-4.950748014546628,-1.8159539386842003,-0.0975589594746095,71.96481805443764,276518551.0879862,13.353642502025712,True,True,True
de566,original,gpt-4-turbo_1,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4_2,original,-6.780688876085135,-0.2280569980698224,3.6371724576661912,73.21961007490754,272206034.78469485,12.855405894619798,True,True,False
63b89,claude-v3-sonnet,gpt-4_3,original,claude-v3-sonnet,gpt-4_1,claude-v3-sonnet,-4.148950480770034,-0.4290906868462061,1.171087514051798,71.41502479687333,272752015.47033274,13.18439710138826,True,True,False
e54e6,claude-v3-sonnet,claude-v3-haiku_1,claude-v3-sonnet,original,gpt-4_1,gpt-4-turbo,-0.42453193167393144,0.985706492966146,-1.2749993633534322,68.86118779890239,268909615.03001785,13.51072044063163,True,False,True
46811,original,claude-v3-haiku_1,claude-v3-sonnet,original,gpt-4-turbo,claude-v3-sonnet,-5.188028870289006,-0.287408414542275,-0.032980322824008576,72.1275217410177,272367225.3157767,13.345027306649675,True,True,True
7021a,original,gpt-4-turbo,original,gpt-4-turbo,original,claude-v3-sonnet,-7.633492963151005,0.18590155219473378,2.986587300495883,73.80437856987119,271081778.57433146,12.942198037168387,True,False,False
5cd33,original,gpt-4,original,gpt-4-turbo,original,claude-v3-sonnet,-7.606753091604275,-0.9968002119982274,4.618126573595812,73.78604301698506,274293838.8217932,12.724540459826146,True,True,False
2bc76,gpt-4,claude-v3-sonnet_3,claude-v3-sonnet_1,gpt-4-turbo,original,gpt-4-turbo,-7.401515150111878,-0.4226491271847093,4.6813470806568915,73.64531118422747,272734521.0534419,12.716106447459948,True,True,False
9a32d,claude-v3-sonnet,gpt-4_3,original,claude-v3-sonnet,claude-v3-haiku,claude-v3-sonnet,-4.385009120658728,-1.7539710405803088,-1.7340383882321249,71.57689040899277,276350213.80376995,13.571959127133368,True,True,True
ee9a3,gpt-4,claude-v3-sonnet_1,claude-v3-sonnet_1,gpt-4-turbo,gpt-4_1,gpt-4-turbo,-7.755465962171699,-1.4810927306831778,3.6185083991150613,73.88801556006074,275609112.7095197,12.857895797152082,True,True,False
0dd6a,original,gpt-4_3,claude-v3-sonnet_1,gpt-4-turbo,gpt-4_2,gpt-4-turbo,-9.200395616087484,-0.36337302174374875,6.546997805874258,74.8788050647825,272573535.0570769,12.467216933298229,True,True,False
cdb4d,gpt-4,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,-6.022571193204434,-0.4278465017609136,1.8268303284385148,72.6997681286186,272748636.4295856,13.096916895001433,True,True,False
