id,structure_9ac10,structure_5b5aa,structure_0863f,structure_d5b1a,structure_d6b45,structure_e7c5d,structure_d778c,structure_38e0d,structure_3a926,structure_e8200,structure_56afb,structure_8f744,structure_6cf05,structure_771a1,structure_eeed7,structure_4dce7,structure_1eb87,structure_ab85b,structure_7532d,structure_9b992,structure_718d5,structure_26262,structure_19b20,structure_aaeb5,structure_d558d,structure_b0102,structure_2f75f,structure_a0be8,structure_9511e,structure_78c41,structure_ff0de,structure_67365,structure_a1464,structure_a443e,structure_348ad,structure_b2773,structure_21b2f,structure_f5c02,structure_5307f,structure_9d4e6,structure_50ed3,structure_66441,structure_16911,structure_fcf38,structure_ee1b1,structure_452d3,structure_10607,structure_9667f,structure_a306a,structure_69fdc,structure_b03fb,structure_6ed07,structure_c3497,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
bfa73,gpt-4-turbo,original,gpt-4-turbo_1,original,original,gpt-4-turbo,original,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,-0.5459749569179627,-0.07820203391921046,3.8357636908363535,9.532021635305137,97954650.57389757,207.3917126714328,True,True,False
63fc7,original,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,-1.0343481488383879,0.340867599130604,4.074867164366923,9.578320692363196,97544473.14627339,206.87605237209064,True,False,False
ef9b5,original,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,-0.22118488868022765,-0.2016679224267278,3.5655379339003175,9.50123068660032,98075496.64947405,207.97449255603277,True,True,False
a8e13,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,-0.7744620784410255,0.3187433525016258,6.753708652793681,9.553682812559419,97566127.94026157,201.09875360091354,True,False,False
404d2,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo_1,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,original,original,-3.045816121488196,-0.6385630405670596,2.308134277754662,9.769013121793979,98503121.32462932,210.6862605456312,True,True,False
78551,original,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,0.11200461149226955,0.18973009888997108,0.8217968612265939,9.469643449760042,97692403.67184044,213.89175641657397,False,False,False
6966b,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo_1,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo_1,0.7969857992050637,-1.0101519066775964,3.9821435549891318,9.404705440020189,98866825.47595562,207.0760238884464,False,True,False
c73b3,original,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,-1.653605950727294,-0.3435988966968327,6.519387935558814,9.637027953076176,98214416.00161758,201.60409921303386,True,True,False
2e4ad,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,claude-v3-sonnet,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo_1,-1.976370046259931,0.41530513707824485,4.223207819543915,9.667626834264956,97471615.09256084,206.55613486723934,True,False,False
750e7,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,claude-v3-sonnet,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo_1,0.3731170092695701,-1.0881238379079057,9.528958962971139,9.444889310910366,98943142.92693909,195.11353563412996,False,True,False
bf226,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo_1,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,claude-v3-sonnet,original,original,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo_1,-0.04446247560120419,-0.7814244420475871,6.540149397768149,9.484476939216256,98642951.36132182,201.55932419718167,True,True,False
6013f,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,claude-v3-sonnet,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,-4.127280009202181,-0.1622215664218344,7.759156924000434,9.871538729406893,98036887.30257988,198.93036286677707,True,True,False
463f0,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,-2.5706935416027656,0.10634482232243636,4.584331330229686,9.723970257444307,97774019.60281423,205.7773211809718,True,False,False
6f5e8,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo_1,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo_1,0.018840385449997818,-0.5647609661767548,5.718237619362391,9.478475662274287,98430885.2506231,203.3318926481012,False,True,False
070e5,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,-1.5709001021946838,0.6318252934848644,3.2246734556592025,9.629187222127802,97259689.26024196,208.70961478696285,True,False,False
d5b6f,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,original,original,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,-2.120149967951571,0.1011698131429253,3.2808410073181196,9.681257547228597,97779084.80388293,208.58848155508593,True,False,False
ae6c5,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,claude-v3-sonnet,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,original,original,-20.132208654162444,-7.5683087662470125,16.669214986569365,11.388847862672993,105285825.32339697,179.7145683830851,True,True,False
f9fe7,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo_1,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo_1,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,-2.9685363743861553,-0.787099069037107,3.0607910334704114,9.761686799465679,98648505.5788497,209.06305030019467,True,True,False
63bf4,gpt-4-turbo,original,gpt-4-turbo_1,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,-19.91684901160992,-8.683792513353165,11.652402291747451,11.36843120479025,106377639.70902723,190.53403117781804,True,True,False
