id,structure_1eed3,structure_6bfb5,structure_012c1,structure_c6bb4,structure_b7648,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
ba754,gpt-4-turbo,gpt-4,gpt-4,gpt-4-turbo,original,47.16061053277565,-13.124165153472823,-579.4743541788087,12.644989198073745,1408470.445646843,679.162304172489,False,True,True
f2296,gpt-4,gpt-4-turbo,gpt-4,gpt-4,gpt-4,48.34049705161399,-5.240802911063266,-602.8431625517223,12.362630669027567,1310317.387759536,702.5203803716928,False,True,True
c6397,original,original,gpt-4,gpt-4-turbo,gpt-4-turbo,48.08406262650358,-6.232283595227871,-598.3246847915876,12.423997966572642,1322661.9760195334,698.0039777318403,False,True,True
ea1f7,gpt-4,gemini-pro,original,gpt-4,gpt-4,-0.041899990294549314,-1.9732009257301006,-1.1699843683084687,23.941017439588904,1269633.5885179252,101.12352184317072,True,True,True
2b188,original,gpt-4,gpt-4,original,gpt-4,48.34343502118153,-1.9564470292958345,-599.4840473544621,12.361927583813667,1269424.9914604789,699.1628078550534,False,True,True
2b70f,original,gemini-pro,gpt-4,gpt-4,original,47.44146543571442,-2.615715133440507,-589.1504127013042,12.577777838334441,1277633.3140517275,688.833918945041,False,True,True
d05c3,original,gemini-pro,original,gpt-4,gpt-4-turbo,-0.15324283820329856,-10.854294489491313,-1.015769130224883,23.967662885785103,1380209.0592196248,100.96937742875505,True,True,True
1d71e,gpt-4,gpt-4,original,original,original,-0.05285059069316295,-6.2499749951879835,-0.6992881925704384,23.943638026714325,1322882.2456140283,100.65304183562758,True,True,True
b31ff,gpt-4,gpt-4,gpt-4,gpt-4-turbo,gpt-4-turbo,47.68689927541944,-4.256091284181544,-590.385777855754,12.519043089821935,1298057.0787259524,690.0687167554815,False,True,True
a217f,gpt-4-turbo,original,gpt-4,gpt-4,original,47.66818680204758,-8.86179902917583,-588.2216397010797,12.523521170020103,1355401.1769680076,687.9055724857429,False,True,True
f284f,original,gemini-pro,gpt-4,gpt-4-turbo,gpt-4,47.45113632809576,-2.281603008150526,-588.799902504179,12.575463498011231,1273473.3977918837,688.4835697204508,False,True,True
3d7af,gpt-4-turbo,gemini-pro,original,gpt-4-turbo,original,-0.1833330339344028,-10.525072365090336,-1.3192650398504335,23.9748637676239,1376110.0266951174,101.27273395725469,True,True,True
5bdc6,gpt-4,gpt-4-turbo,original,gpt-4,gpt-4-turbo,-0.1519732174748395,-2.3059641796087686,-1.2257626138496496,23.967359052971005,1273776.7104393071,101.17927447243696,True,True,True
0bc1f,gpt-4,gemini-pro,original,gpt-4-turbo,gpt-4,-0.01094803965940077,-8.555017854634118,-0.9922878058834383,23.93361033126712,1351581.5490659,100.94590688826051,True,True,True
