id,structure_a17d2,structure_b7b02,structure_92ae6,structure_2b2e8,structure_ffa98,structure_e1550,structure_8d8ac,structure_6a647,structure_1899b,structure_5d807,structure_78f0f,structure_8a9d8,structure_0eee6,structure_b91ec,structure_75a22,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
b2595,mistral-large,gpt-4-turbo,original,gemini-v15-pro,mistral-large,original,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,original,original,2.4009942664829214,0.24215318465865743,0.08188788753613419,36.00819135271013,31035677.580987673,99.33850786789877,False,False,False
e8e8a,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,original,gpt-4-turbo,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.334886937438014,2.1626293707129,0.09951143734141035,32.71211969293654,30438197.96795358,99.32098654865065,False,False,False
6704c,mistral-large,gpt-4-turbo,original,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.597581519670607,2.1987843916463645,0.11104388670289154,32.615201115608215,30426949.77436835,99.309520996636,False,False,False
c9fa6,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,original,original,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet,gemini-v15-pro,original,original,claude-v3-sonnet,claude-v3-sonnet_1,11.430684344202664,1.3443348177617191,0.20692743865496574,32.67677618376911,30692777.699998938,99.2141936452818,False,False,False
9c5ad,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet,gemini-v15-pro,original,claude-v3-sonnet,original,gpt-4-turbo,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.452921816423132,2.0171251190372335,0.12028755690254878,32.66857188753784,30483465.815905713,99.30033094704996,False,False,False
44217,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,original,original,original,claude-v3-sonnet,original,11.936965227569917,2.8724011452509037,0.15950070673416888,32.48998884111643,30217380.77257623,99.2613452645674,False,False,False
b675f,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,original,11.581312107780716,2.853595047152502,0.12942387637473854,32.62120355479419,30223231.54036815,99.29124762547208,False,False,False
ef6f1,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,gpt-4-turbo,original,original,original,original,original,original,claude-v3-sonnet,original,11.966674754358856,1.3542331356208863,0.12580648945794554,32.479027803987265,30689698.232954707,99.29484402867764,False,False,False
1473a,mistral-large,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,mistral-large,gemini-v15-pro,original,original,original,original,gemini-v15-pro,original,claude-v3-sonnet,claude-v3-sonnet,original,10.728681390984436,1.9641726403398672,0.10603134227833619,32.9357732553035,30499939.86890936,99.31450446432999,False,False,False
f8e90,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,original,gpt-4-turbo_1,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet_1,11.914928494235498,1.09010860190976,0.15352781161878992,32.49811907671392,30771870.05332951,99.26728351215704,False,False,False
